//farm_num server_num task_num rej_rate time_cost energy_cost
10 100 1000 0.009 6.896 98979.939 
10 100 2000 0.013 14.041 210700.786 
10 100 3000 0.024 21.54 317949.635 
10 100 4000 0.034 30.268 424122.409 
10 100 5000 0.045 36.754 522985.033 
10 200 1000 0.013 11.017 171700.803 
10 200 2000 0.019 20.64 389192.792 
10 200 3000 0.031 29.656 603250.294 
10 200 4000 0.039 46.203 806711.137 
10 200 5000 0.063 58.446 991923.19 
10 300 1000 0.012 14.201 226140.222 
10 300 2000 0.027 30.993 534528.385 
10 300 3000 0.045 47.73 845155.79 
10 300 4000 0.063 65.376 1127671.143 
10 300 5000 0.078 80.774 1416529.28 
